Fecha,Cod_Provincia,Provincia,TOTAL_CAMAS,OCUPADAS_COVID19,OCUPADAS_NO_COVID19,% Pacientes COVID-19,% Pacientes no COVID-19,media_7d_ocupadas_covid,POR_OCUPADAS_TOTAL,media_7d_ocupadas_total
2020-08-01,37,Salamanca,39,0,18,0.0,46.15,0.0,118.33,118.0
2020-08-01,38,Santa Cruz de Tenerife,194,1,81,0.52,41.75,1.0,21.79,22.0
2020-08-01,39,Cantabria,115,0,49,0.0,42.61,0.0,37.05,37.0
2020-08-01,4,Almería,126,4,16,3.17,12.7,3.0,12.6,13.0
2020-08-01,40,Segovia,22,0,4,0.0,18.18,0.0,82.64,83.0
2020-08-01,41,Sevilla,321,1,123,0.31,38.32,0.0,12.03,12.0
2020-08-01,42,Soria,16,1,1,6.25,6.25,6.0,78.12,78.0
2020-08-01,43,Tarragona,90,8,39,8.89,43.33,9.0,58.02,58.0
2020-08-01,44,Teruel,8,0,3,0.0,37.5,0.0,468.75,469.0
2020-08-01,45,Toledo,86,1,37,1.16,43.02,1.0,51.37,51.0
2020-08-01,46,Valencia/València,570,5,169,0.88,29.65,1.0,5.36,5.0
2020-08-01,47,Valladolid,87,2,45,2.3,51.72,2.0,62.09,62.0
2020-08-01,48,Bizkaia,165,5,79,3.03,47.88,3.0,30.85,31.0
2020-08-01,49,Zamora,17,0,5,0.0,29.41,0.0,173.0,173.0
2020-08-01,5,Ávila,15,0,2,0.0,13.33,0.0,88.87,89.0
2020-08-01,50,Zaragoza,165,27,64,16.36,38.79,16.0,33.42,33.0
2020-08-01,51,Ceuta,17,0,2,0.0,11.76,0.0,69.18,69.0
2020-08-01,52,Melilla,12,0,3,0.0,25.0,0.0,208.33,208.0
2020-08-01,6,Badajoz,127,3,33,2.36,25.98,2.0,22.31,22.0
2020-08-01,7,"Balears, Illes",244,6,73,2.46,29.92,2.0,13.27,13.0
2020-08-01,8,Barcelona,847,69,432,8.15,51.0,8.0,6.98,7.0
2020-08-01,9,Burgos,49,1,14,2.04,28.57,2.0,62.47,62.0
2020-08-02,1,Araba/Álava,60,1,26,1.67,43.33,2.0,75.0,68.0
2020-08-02,10,Cáceres,66,0,21,0.0,31.82,0.0,48.21,48.0
